email,empId,name,loginOk,employeesVisible,editVisible,deleteVisible,notes
superadmin@esspl.com.pk,EMP001,"Muhammad Bilal Ahmed",false,0,false,false,""
faisallatif2@esspl.com.pk,EMP002,"Faisal Latif",true,7,false,false,""
palwashaali3@esspl.com.pk,EMP003,"Palwasha Ali",false,0,false,false,""
zainabsiddiqui4@esspl.com.pk,EMP004,"Zainab Siddiqui",true,1,false,false,""
hiranawaz5@esspl.com.pk,EMP005,"Hira Nawaz",false,0,false,false,""
khadijatariq6@esspl.com.pk,EMP006,"Khadija Tariq",false,0,false,false,""
farhanfarooq7@esspl.com.pk,EMP007,"Farhan Farooq",false,0,false,false,"Error: page.goto: net::ERR_INSUFFICIENT_RESOURCES at http://localhost:8081/login Call log: [2m  - navigating to http://localhost:8081/login, waiting until domcontentloaded[22m "
nimrahashmi8@esspl.com.pk,EMP008,"Nimra Hashmi",false,0,false,false,"Error: page.goto: net::ERR_ABORTED at http://localhost:8081/login Call log: [2m  - navigating to http://localhost:8081/login, waiting until domcontentloaded[22m "
mariamnawaz9@esspl.com.pk,EMP009,"Mariam Nawaz",true,0,false,false,""
amnaaslam10@esspl.com.pk,EMP010,"Amna Aslam",false,0,false,false,""
shahidali11@esspl.com.pk,EMP011,"Shahid Ali",true,7,false,false,""
anumcheema12@esspl.com.pk,EMP012,"Anum Cheema",false,0,false,false,""
zeeshanzaman13@esspl.com.pk,EMP013,"Zeeshan Zaman",true,7,false,false,""
hassanchaudhry14@esspl.com.pk,EMP014,"Hassan Chaudhry",false,0,false,false,""
palwashaaslam15@esspl.com.pk,EMP015,"Palwasha Aslam",true,7,false,false,""
talhasiddiqui16@esspl.com.pk,EMP016,"Talha Siddiqui",false,0,false,false,""
fatimachaudhry17@esspl.com.pk,EMP017,"Fatima Chaudhry",true,7,false,false,""
fatimazaman18@esspl.com.pk,EMP018,"Fatima Zaman",false,0,false,false,""
zaidhashmi19@esspl.com.pk,EMP019,"Zaid Hashmi",true,7,false,false,""
palwashahamid20@esspl.com.pk,EMP020,"Palwasha Hamid",false,0,false,false,""
zaidmirza21@esspl.com.pk,EMP021,"Zaid Mirza",true,7,false,false,""
ifrahali22@esspl.com.pk,EMP022,"Ifrah Ali",false,0,false,false,""
shaziaismail23@esspl.com.pk,EMP023,"Shazia Ismail",true,7,false,false,""
nimrahashmi24@esspl.com.pk,EMP024,"Nimra Hashmi",false,0,false,false,""
kamranbhatti25@esspl.com.pk,EMP025,"Kamran Bhatti",true,7,false,false,""
iqrapervaiz26@esspl.com.pk,EMP026,"Iqra Pervaiz",false,0,false,false,"Error: page.evaluate: Execution context was destroyed, most likely because of a navigation"
junaidkhan27@esspl.com.pk,EMP027,"Junaid Khan",false,0,false,false,"Error: page.goto: net::ERR_ABORTED; maybe frame was detached? Call log: [2m  - navigating to http://localhost:8081/login, waiting until domcontentloaded[22m "
muhammadsaleem28@esspl.com.pk,EMP028,"Muhammad Saleem",false,7,false,false,""
areebaali29@esspl.com.pk,EMP029,"Areeba Ali",false,0,false,false,""
asmasheikh30@esspl.com.pk,EMP030,"Asma Sheikh",false,0,false,false,""
aminarana31@esspl.com.pk,EMP031,"Amina Rana",false,0,false,false,""
iqraaziz32@esspl.com.pk,EMP032,"Iqra Aziz",false,0,false,false,""
areebasiddiqui33@esspl.com.pk,EMP033,"Areeba Siddiqui",false,0,false,false,""
ifrahmehmood34@esspl.com.pk,EMP034,"Ifrah Mehmood",false,0,false,false,""
naveedbutt35@esspl.com.pk,EMP035,"Naveed Butt",false,0,false,false,""
sadiaabbasi36@esspl.com.pk,EMP036,"Sadia Abbasi",false,0,false,false,""
khadijadar37@esspl.com.pk,EMP037,"Khadija Dar",false,0,false,false,""
rabiaali38@esspl.com.pk,EMP038,"Rabia Ali",false,0,false,false,""
kamranraza39@esspl.com.pk,EMP039,"Kamran Raza",false,0,false,false,""
mehwishchaudhry40@esspl.com.pk,EMP040,"Mehwish Chaudhry",false,0,false,false,""
ifrahdar41@esspl.com.pk,EMP041,"Ifrah Dar",false,0,false,false,""
faisalali42@esspl.com.pk,EMP042,"Faisal Ali",false,0,false,false,""
hafsacheema43@esspl.com.pk,EMP043,"Hafsa Cheema",false,0,false,false,""
imrankhan44@esspl.com.pk,EMP044,"Imran Khan",false,0,false,false,""
ayeshaansari45@esspl.com.pk,EMP045,"Ayesha Ansari",false,0,false,false,""
omarcheema46@esspl.com.pk,EMP046,"Omar Cheema",false,0,false,false,""
saraansari47@esspl.com.pk,EMP047,"Sara Ansari",false,0,false,false,""
ifrahsaleem48@esspl.com.pk,EMP048,"Ifrah Saleem",false,0,false,false,""
salmanraza49@esspl.com.pk,EMP049,"Salman Raza",false,0,false,false,""
amnamirza50@esspl.com.pk,EMP050,"Amna Mirza",false,0,false,false,""
mariamsiddiqui51@esspl.com.pk,EMP051,"Mariam Siddiqui",false,0,false,false,""
talhahamid52@esspl.com.pk,EMP052,"Talha Hamid",false,0,false,false,""
shahiddar53@esspl.com.pk,EMP053,"Shahid Dar",false,0,false,false,""
aliali54@esspl.com.pk,EMP054,"Ali Ali",false,0,false,false,""
noorqureshi55@esspl.com.pk,EMP055,"Noor Qureshi",false,0,false,false,""
sanarana56@esspl.com.pk,EMP056,"Sana Rana",false,0,false,false,""
ayeshazaman57@esspl.com.pk,EMP057,"Ayesha Zaman",false,0,false,false,""
zainabnawaz58@esspl.com.pk,EMP058,"Zainab Nawaz",false,0,false,false,""
sadiaqureshi59@esspl.com.pk,EMP059,"Sadia Qureshi",false,0,false,false,""
sadiaahmed60@esspl.com.pk,EMP060,"Sadia Ahmed",true,7,false,false,""
zaidpervaiz61@esspl.com.pk,EMP061,"Zaid Pervaiz",false,0,false,false,""
asadiqbal62@esspl.com.pk,EMP062,"Asad Iqbal",true,7,false,false,""
sarabhatti63@esspl.com.pk,EMP063,"Sara Bhatti",false,0,false,false,""
mariamlatif64@esspl.com.pk,EMP064,"Mariam Latif",true,7,false,false,""
asaddar65@esspl.com.pk,EMP065,"Asad Dar",false,0,false,false,""
sanahamid66@esspl.com.pk,EMP066,"Sana Hamid",false,0,false,false,""
yasirqureshi67@esspl.com.pk,EMP067,"Yasir Qureshi",true,7,false,false,""
junaidpervaiz68@esspl.com.pk,EMP068,"Junaid Pervaiz",false,0,false,false,""
azfarnawaz69@esspl.com.pk,EMP069,"Azfar Nawaz",true,7,false,false,""
shaziasiddiqui70@esspl.com.pk,EMP070,"Shazia Siddiqui",false,0,false,false,""
yasiraziz71@esspl.com.pk,EMP071,"Yasir Aziz",false,0,false,false,""
shahidrafique72@esspl.com.pk,EMP072,"Shahid Rafique",true,7,false,false,""
hiraali73@esspl.com.pk,EMP073,"Hira Ali",false,0,false,false,""
adnankhan74@esspl.com.pk,EMP074,"Adnan Khan",true,7,false,false,""
adnanhussain75@esspl.com.pk,EMP075,"Adnan Hussain",false,0,false,false,""
hinabhatti76@esspl.com.pk,EMP076,"Hina Bhatti",true,7,false,false,""
moizsaleem77@esspl.com.pk,EMP077,"Moiz Saleem",false,0,false,false,""
shahidyousuf78@esspl.com.pk,EMP078,"Shahid Yousuf",true,7,false,false,""
shaziaanwar79@esspl.com.pk,EMP079,"Shazia Anwar",false,0,false,false,""
kamrandar80@esspl.com.pk,EMP080,"Kamran Dar",true,7,false,false,""
sadiashah81@esspl.com.pk,EMP081,"Sadia Shah",false,0,false,false,""
laibaiqbal82@esspl.com.pk,EMP082,"Laiba Iqbal",true,7,false,false,""
aminaabbasi83@esspl.com.pk,EMP083,"Amina Abbasi",false,0,false,false,""
hamzaismail84@esspl.com.pk,EMP084,"Hamza Ismail",true,7,false,false,""
shahidrafique85@esspl.com.pk,EMP085,"Shahid Rafique",false,0,false,false,""
hiraabbasi86@esspl.com.pk,EMP086,"Hira Abbasi",true,7,false,false,""
moizqureshi87@esspl.com.pk,EMP087,"Moiz Qureshi",false,0,false,false,""
rizwantariq88@esspl.com.pk,EMP088,"Rizwan Tariq",true,7,false,false,""
ramshakhan89@esspl.com.pk,EMP089,"Ramsha Khan",false,0,false,false,""
junaidhashmi90@esspl.com.pk,EMP090,"Junaid Hashmi",true,7,false,false,""
ifrahkhan91@esspl.com.pk,EMP091,"Ifrah Khan",false,0,false,false,""
tariqismail92@esspl.com.pk,EMP092,"Tariq Ismail",true,7,false,false,""
omaraslam93@esspl.com.pk,EMP093,"Omar Aslam",false,0,false,false,""
sabaaziz94@esspl.com.pk,EMP094,"Saba Aziz",true,7,false,false,""
junaidmirza95@esspl.com.pk,EMP095,"Junaid Mirza",false,0,false,false,""
sadianawaz96@esspl.com.pk,EMP096,"Sadia Nawaz",true,7,false,false,""
sanarafique97@esspl.com.pk,EMP097,"Sana Rafique",false,0,false,false,""
hirashah98@esspl.com.pk,EMP098,"Hira Shah",true,7,false,false,""
faisalkhan99@esspl.com.pk,EMP099,"Faisal Khan",false,0,false,false,""
salmansiddiqui100@esspl.com.pk,EMP100,"Salman Siddiqui",true,7,false,false,""
mahnoorraza101@esspl.com.pk,EMP101,"Mahnoor Raza",false,0,false,false,""
sanachaudhry102@esspl.com.pk,EMP102,"Sana Chaudhry",true,7,false,false,""
moizsiddiqui103@esspl.com.pk,EMP103,"Moiz Siddiqui",false,0,false,false,""
mehwishhaider104@esspl.com.pk,EMP104,"Mehwish Haider",true,7,false,false,""
usmansaleem105@esspl.com.pk,EMP105,"Usman Saleem",false,0,false,false,""
hinachaudhry106@esspl.com.pk,EMP106,"Hina Chaudhry",true,7,false,false,""
naveedali107@esspl.com.pk,EMP107,"Naveed Ali",false,0,false,false,""
imranfarooq108@esspl.com.pk,EMP108,"Imran Farooq",true,7,false,false,""
salmanraza109@esspl.com.pk,EMP109,"Salman Raza",false,0,false,false,""
iqramehmood110@esspl.com.pk,EMP110,"Iqra Mehmood",true,7,false,false,""
talharaza111@esspl.com.pk,EMP111,"Talha Raza",false,0,false,false,""
harishussain112@esspl.com.pk,EMP112,"Haris Hussain",true,7,false,false,""
mariamaziz113@esspl.com.pk,EMP113,"Mariam Aziz",false,0,false,false,""
asadrafique114@esspl.com.pk,EMP114,"Asad Rafique",true,7,false,false,""
danishhussain115@esspl.com.pk,EMP115,"Danish Hussain",false,0,false,false,""
faisalismail116@esspl.com.pk,EMP116,"Faisal Ismail",true,7,false,false,""
zeeshanhussain117@esspl.com.pk,EMP117,"Zeeshan Hussain",false,0,false,false,""
